river,date,year,month,water_level,water_level_observed,runoff,runoff_observed,temp_max_observed,temp_min_observed,temp_mean_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean
Buzimba,1988-05-01,1988,5,0.8583870967741934,0.8583870967741934,9.5,9.5,,,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.126681747311864,17.34340000000003,25.166830000000004,382.20024030279995,0.028821534752678766,0.5623749763528225,18.52379725806452,101415.67937499999
Buzimba,1988-06-01,1988,6,0.7589999999999998,0.7589999999999998,2.73,2.73,,,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.051854625000033,16.69906000000003,25.257900000000006,115.65780656221999,0.09099875526480555,0.5961207502991667,17.55625070833338,101445.69443055555
Buzimba,1988-07-01,1988,7,0.7058064516129031,0.7058064516129031,1.64,1.64,,,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.77987649193551,16.241900000000044,24.778099999999995,87.80074107364,0.2609461508174731,0.5090042029180107,16.8355268682796,101444.71635080646
Buzimba,1988-08-01,1988,8,0.6729032258064516,0.6729032258064516,2.23,2.23,,,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.99238424731186,15.552670000000035,24.921040000000005,187.50143057412,0.30370900970537634,0.3100188265002688,17.38407573924735,101348.2549327957
Buzimba,1988-09-01,1988,9,0.6500000000000001,0.6500000000000001,6.62,6.62,25.14,,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.592342472222242,17.345240000000047,25.61608000000001,280.05743109344,0.20228938050527775,0.2221147131152778,17.827418402777766,101214.28775
Buzimba,1988-10-01,1988,10,0.6551612903225807,0.6551612903225807,14.73,14.73,25.770967741935486,,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.390856102150565,17.726800000000026,25.830600000000004,463.4063233466,0.08419830634717743,0.26451697465228496,18.114691545698975,101165.4428830645
Buzimba,1988-11-01,1988,11,0.6862068965517241,0.6862068965517241,17.71,17.71,26.37333333333334,,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.774167722222217,18.00576000000001,25.539360000000045,621.27256314266,-0.04712344257711111,0.7755307098697222,18.30364995833338,101311.39148611111
Buzimba,1988-12-01,1988,12,0.7809677419354839,0.7809677419354839,19.57,19.57,26.283870967741933,,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.03295387096773,16.87856000000005,23.776700000000005,756.78253004214,-0.20539575087258066,0.8491794199657258,17.866333602150576,101220.84690860214
Buzimba,1989-01-01,1989,1,0.7729032258064513,0.7729032258064513,15.48,15.48,,18.81612903225807,,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.454928561827955,16.37728000000004,24.677880000000016,383.95452505728,0.051921495864112904,0.4669189667366936,17.311100954301082,101233.83492607527
Buzimba,1989-02-01,1989,2,0.8535714285714285,0.8535714285714285,25.46,25.46,27.453571428571433,18.896428571428572,23.175000000000004,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.722556369047652,16.86584000000005,25.596220000000017,696.08115990002,0.025469371117425595,0.4449031238241072,17.934331502976192,101288.05391369048
Buzimba,1989-03-01,1989,3,0.8419354838709677,0.8419354838709677,13.91,13.91,27.780645161290316,18.635483870967743,23.208064516129028,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.988070618279608,16.78353000000004,26.147800000000018,455.47580707842,0.023411452935752686,0.5998760148276882,17.874436276881738,101145.19762096774
Buzimba,1989-04-01,1989,4,0.9596666666666666,0.9596666666666666,11.01,11.01,28.110000000000007,17.82068965517242,22.965344827586215,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.876283708333347,17.38590000000005,24.746700000000033,418.12229107598,-0.07867378627458332,0.6274052927054167,18.199528361111106,101252.23381944443
Buzimba,1989-05-01,1989,5,0.9163333333333334,0.9163333333333334,12.12,12.12,28.716129032258063,18.53870967741935,23.627419354838707,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.547474153225835,16.79513000000003,24.132780000000025,453.25303102362,-0.04698466329596774,0.6112313738513441,17.993429596774206,101461.75548387096
Buzimba,1989-06-01,1989,6,0.7976666666666671,0.7976666666666671,2.46,2.46,29.09666666666666,14.853333333333332,21.974999999999994,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.520997069444434,15.389370000000042,26.28140000000002,96.08936307248001,0.06301911631880557,0.6426318695926388,17.40047036111116,101540.36753472222
Buzimba,1989-07-01,1989,7,0.7556666666666664,0.7556666666666664,1.3,1.3,28.735483870967737,13.980645161290324,21.35806451612903,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.20253030913983,15.810100000000034,24.488850000000014,67.84415240682,0.18650670204986558,0.5601253930872312,16.480954193548428,101550.97463037634
Buzimba,1989-08-01,1989,8,0.731290322580645,0.731290322580645,1.4,1.4,30.37419354838709,13.251612903225805,21.812903225806448,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.855030376344132,16.286370000000034,25.55110000000002,102.57983202464,0.23071779261420297,0.49870653003266124,16.58375612903228,101401.11823924731
Buzimba,1989-09-01,1989,9,0.7133333333333333,0.7133333333333333,5.91,5.91,30.533333333333328,15.41,22.971666666666664,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.641296888888917,17.464260000000024,26.23240000000004,242.13814826276,0.04735340527831111,0.16628911872645832,17.62672741666671,101190.6833125
Buzimba,1989-10-01,1989,10,0.7369999999999998,0.7369999999999998,14.67,14.67,27.983870967741932,16.632258064516126,22.30806451612903,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.21696174731187,17.149900000000002,25.018520000000024,489.93754434974,0.05172895707405914,0.47152636246774193,18.03088581989249,101260.31590053764
Buzimba,1989-11-01,1989,11,0.7706666666666668,0.7706666666666668,14.47,14.47,28.149999999999995,17.51,22.83,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.21688612500003,17.86062000000004,25.42867000000001,586.9598391199,-0.03385183596033333,0.480965233610125,18.468272722222252,101230.4817986111
Buzimba,1989-12-01,1989,12,0.8025806451612907,0.8025806451612907,16.39,16.39,27.238709677419354,17.348387096774193,22.293548387096774,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.866143333333355,17.595540000000028,25.01522,560.44817044222,-0.020030113781129035,0.5473172594411291,18.44189694892475,101286.0253360215
Buzimba,1990-01-01,1990,1,0.7607142857142856,0.7607142857142856,15.58,15.58,27.9516129032258,18.64838709677419,23.299999999999997,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.320836666666708,17.72717,25.45306000000005,593.69921631918,-0.09679652052889785,0.6497696702543683,18.507660806451668,101236.3235752688
Buzimba,1990-02-01,1990,2,0.8282142857142858,0.8282142857142858,17.15,17.15,27.696428571428573,18.439285714285717,23.067857142857143,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.454879494047645,17.734920000000045,26.121800000000007,479.73370539392,0.028887203469791668,0.5725268637504465,18.37403883928573,101276.19533482143
Buzimba,1990-03-01,1990,3,0.9893333333333332,0.9893333333333332,15.47,15.47,27.458064516129028,19.083870967741937,23.270967741935483,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.28392456989252,17.90560000000005,25.29208,571.08020714384,-0.03325999671680108,0.4511648403580645,18.695558440860225,101358.5743548387
Buzimba,1990-04-01,1990,4,0.9776666666666671,0.9776666666666671,11.28,11.28,28.69333333333333,19.356666666666662,24.025,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.71868059722226,18.15010000000001,25.990350000000035,375.5371574377,-0.08550376997777777,0.5288265426384723,18.89720923611111,101226.93965277777
Buzimba,1990-05-01,1990,5,0.9164516129032256,0.9164516129032256,10.0,10.0,28.7516129032258,16.416129032258063,22.58387096774193,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.118381814516113,16.942700000000002,25.22634000000005,404.32119316112,-0.04155329227096774,0.718229986927285,18.537797674731166,101377.23344086022
Buzimba,1990-06-01,1990,6,0.8403333333333334,0.8403333333333334,2.63,2.63,29.81333333333333,12.263333333333334,21.03833333333333,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.1042497638889,17.316130000000044,25.679100000000005,118.25418465525999,0.17507972656987222,0.5975332049639306,17.482132250000006,101519.63525694446
Buzimba,1990-07-01,1990,7,0.8122580645161294,0.8122580645161294,1.0,1.0,29.303225806451607,10.690322580645164,19.996774193548386,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.637388360215084,14.906100000000038,24.836880000000008,17.16685292728,0.25811695778252686,0.6587443253772177,15.775092903225868,101491.4279032258
Buzimba,1990-08-01,1990,8,0.7825806451612904,0.7825806451612904,0.69,0.69,30.409677419354836,11.696774193548386,21.05322580645161,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.983895053763433,16.35256000000004,25.81423000000001,81.29715901248,0.2969372039780914,0.5304581638038307,16.73500705645165,101495.99823252688
Buzimba,1990-09-01,1990,9,0.7626666666666668,0.7626666666666668,6.85,6.85,29.783333333333335,15.916666666666668,22.85,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.379384000000016,17.788720000000012,26.08907000000005,362.39433288166003,0.23167213746527776,0.3931460034815278,17.464035000000024,101341.12318055556
Buzimba,1990-10-01,1990,10,0.7587096774193551,0.7587096774193551,11.75,11.75,29.50645161290322,16.996774193548386,23.251612903225805,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.706512150537662,17.816670000000045,26.224270000000047,369.62866830034,0.1334298305110215,0.45986833908037633,17.964212822580635,101234.49355510752
Buzimba,1990-11-01,1990,11,0.771666666666667,0.771666666666667,17.02,17.02,28.250000000000004,18.13,23.19,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.950055013888914,17.528099999999995,24.793420000000026,610.09406954914,-0.1820530368045,0.5817833161491667,18.44217438888893,101244.22342361111
Buzimba,1990-12-01,1990,12,0.7779310344827587,0.7779310344827587,16.54,16.54,27.148387096774197,18.122580645161293,22.635483870967747,,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.760977352150576,17.138500000000022,25.802670000000035,573.12464696608,-0.09390628020727285,0.7557428032284946,18.176207083333395,101253.25820564516
Buzimba,1991-01-01,1991,1,0.784516129032258,0.784516129032258,17.56,17.56,28.30967741935483,19.674193548387095,23.99193548387096,163.7,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.247342567204328,17.26144000000005,25.555000000000007,546.71526033334,-0.11191622459099462,0.6534805702701613,18.435011263440913,101289.29963037634
Buzimba,1991-02-01,1991,2,0.7988000000000004,0.7988000000000004,18.12,18.12,28.539285714285715,19.32857142857143,23.933928571428574,98.4,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.566149791666703,17.344750000000033,26.71627000000001,500.85520626542,-0.17999349307113097,0.5679206400845982,18.576298035714274,101263.68165178571
Buzimba,1991-03-01,1991,3,0.7793548387096777,0.7793548387096777,14.13,14.13,28.345161290322583,19.509677419354833,23.927419354838708,98.60000000000001,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.707539690860244,17.83760000000001,26.435270000000003,462.15724923877997,-0.06280212001922042,0.6684199098494623,18.80937715053767,101167.73597446237
Buzimba,1991-04-01,1991,4,0.8490000000000001,0.8490000000000001,15.89,15.89,27.596666666666675,19.596666666666668,23.59666666666667,175.9,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.835366041666646,17.58596,24.23983000000004,609.88569289872,-0.059128231904208337,0.6924719066915278,18.677168402777795,101287.1705625
Buzimba,1991-05-01,1991,5,0.8209677419354838,0.8209677419354838,17.27,17.27,28.170967741935492,,,378.1,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.903586008064565,18.16420000000005,24.222380000000044,634.10568133932,-0.030873513698655916,0.5899227930013441,18.679156008064524,101360.02911290323
Buzimba,1991-06-01,1991,6,0.8100000000000006,0.8100000000000006,4.74,4.74,28.150000000000002,18.310000000000002,23.230000000000004,48.7,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.55480520833339,17.149,26.005359999999996,126.14965473916001,0.16699727136833334,0.3684493221908333,18.145124236111144,101428.40588194445
Buzimba,1991-07-01,1991,7,0.7758620689655173,0.7758620689655173,3.22,3.22,28.796774193548384,16.819354838709682,22.808064516129033,1.9,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.241088669354895,15.357450000000028,24.11746000000005,168.9572337081,0.13802766287876345,0.5595769711946909,16.802571250000028,101576.31815860214
Buzimba,1991-08-01,1991,8,0.7558620689655169,0.7558620689655169,3.32,3.32,29.21935483870968,17.0741935483871,23.14677419354839,33.1,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.28710276881725,16.420980000000043,26.363670000000013,99.08628445549999,0.28731062605443547,0.4454043807604839,16.712888696236575,101475.1672983871
Buzimba,1991-09-01,1991,9,0.7489999999999994,0.7489999999999994,2.31,2.31,30.306666666666665,17.523333333333333,23.915,25.7,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,22.080918763888917,16.82623000000001,28.230920000000026,123.9399907149,0.2802970891575,0.3973230564847222,17.39217712499999,101318.96286111113
Buzimba,1991-10-01,1991,10,0.7458064516129032,0.7458064516129032,16.97,16.97,27.173333333333336,18.946666666666662,23.06,132.20000000000002,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.500198588709736,17.155050000000017,25.420560000000023,576.67207703134,0.024276650943010757,0.5449022269706989,17.572417943548373,101281.77272849462
Buzimba,1991-11-01,1991,11,0.7710000000000002,0.7710000000000002,16.19,16.19,27.19655172413793,18.848275862068967,23.022413793103446,160.2,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.6386023888889,15.923550000000034,24.58280000000002,558.01606199962,-0.1040330884517139,0.6363076536137042,17.930835486111107,101285.27934722221
Buzimba,1991-12-01,1991,12,0.7912903225806455,0.7912903225806455,14.73,14.73,27.29677419354839,19.4741935483871,23.385483870967747,92.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.752326612903232,17.7235,25.693870000000004,566.4334290540401,-0.03513547476491936,0.3717900360044355,17.904239206989246,101283.28138440859
Buzimba,1992-01-01,1992,1,0.7893548387096776,0.7893548387096776,15.76,15.76,27.83548387096775,19.177419354838708,23.506451612903227,96.90000000000002,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.16510981182796,17.73690000000005,25.426780000000008,532.6743137621401,-0.11400407546048387,0.7043710524580645,18.175904744623665,101290.24737903225
Buzimba,1992-02-01,1992,2,0.8244827586206895,0.8244827586206895,19.9,19.9,28.599999999999994,19.51724137931034,24.058620689655168,112.60000000000001,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.25776617816092,18.031370000000038,25.020399999999995,664.1318794397199,-0.07811147280316093,0.4536019920543822,18.1350134051724,101322.1836566092
Buzimba,1992-03-01,1992,3,0.8303225806451615,0.8303225806451615,13.9,13.9,28.993548387096773,19.625806451612902,24.309677419354838,98.30000000000001,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.82322797043014,18.22634000000005,26.722680000000025,485.62789036222,-0.04168801615322581,0.611760558750672,18.528914314516157,101190.50626344085
Buzimba,1992-04-01,1992,4,0.8786666666666665,0.8786666666666665,15.76,15.76,27.973333333333333,20.069999999999997,24.021666666666665,166.39999999999998,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.24928119444445,17.99606,25.802200000000028,608.3364496933,-0.14820139114,0.7133942286070833,18.70675137500001,101264.95699305554
Buzimba,1992-05-01,1992,5,0.945161290322581,0.945161290322581,9.32,9.32,29.006451612903223,19.459999999999997,24.23322580645161,148.5,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.088978508064542,16.920370000000048,24.90255000000002,346.48466067486,-0.011519628932422046,0.5445295084428763,18.195967983871014,101354.86436827958
Buzimba,1992-06-01,1992,6,0.8563333333333331,0.8563333333333331,8.74,8.74,28.540000000000003,18.223333333333336,23.381666666666668,7.3,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.912890875000016,17.02206000000001,25.27355,275.5608560724,0.26662745881883193,0.2924615440525,17.682706180555556,101446.30129166668
Buzimba,1992-07-01,1992,7,0.8258064516129033,0.8258064516129033,2.86,2.86,29.467741935483872,16.35161290322581,22.909677419354843,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.4006843682796,14.516700000000014,25.405050000000017,47.13439965558,0.20254885449018817,0.6422985240872312,16.063458991935534,101563.8022782258
Buzimba,1992-08-01,1992,8,0.799354838709678,0.799354838709678,0.79,0.79,30.180645161290315,15.941935483870969,23.061290322580643,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.98880415322583,15.681970000000035,25.88754,11.90185541552,0.24124176315127013,0.7693083146149193,15.428390631720447,101515.56722446237
Buzimba,1992-09-01,1992,9,0.7863333333333338,0.7863333333333338,0.99,0.99,31.179999999999996,18.133333333333333,24.656666666666666,0.1,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.699082486111138,17.417400000000043,25.813840000000027,133.81743457236,0.3034649741325,0.33823998897972224,17.186355416666686,101232.68328472222
Buzimba,1992-10-01,1992,10,0.8145161290322582,0.8145161290322582,10.28,10.28,29.090322580645168,18.887096774193548,23.988709677419358,169.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.352358696236593,18.081380000000024,25.43374,380.9146885487,0.01626677090795699,0.41861041866895166,17.675371868279626,101243.44880376343
Buzimba,1992-11-01,1992,11,0.8313333333333331,0.8313333333333331,20.54,20.54,27.519999999999996,19.06666666666667,23.293333333333333,129.89999999999998,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.489909305555557,17.47842000000003,24.698080000000004,709.3677521244,-0.035734187074305555,0.3227737628049028,17.479744916666675,101232.20321527777
Buzimba,1992-12-01,1992,12,0.8574193548387096,0.8574193548387096,18.29,18.29,27.380645161290317,18.751612903225805,23.06612903225806,175.80000000000004,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.474837809139785,17.77767,24.49484000000001,623.72732223496,-0.11713425795094087,0.5986478654173387,17.81342676075269,101283.51882392472
Buzimba,1993-01-01,1993,1,0.8535483870967743,0.8535483870967743,17.58,17.58,27.689999999999998,19.561290322580643,23.625645161290322,130.6,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.5378064919355,17.988670000000013,24.655820000000006,529.48546507964,-0.07730641827069892,0.5670325367639785,17.621476384408595,101323.23856854839
Buzimba,1993-02-01,1993,2,0.9932142857142858,0.9932142857142858,20.43,20.43,28.175000000000004,19.410714285714285,23.792857142857144,64.60000000000001,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.990326622023815,17.62692000000004,25.37005000000005,447.46136727664,-0.013354569979464284,0.35756177102901787,17.790666502976194,101258.83362351189
Buzimba,1993-03-01,1993,3,0.8538709677419355,0.8538709677419355,18.5,18.5,28.177419354838705,18.835483870967735,23.50645161290322,202.39999999999995,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.152154784946276,17.744470000000035,25.673580000000015,571.02990079224,-0.14986021757110216,0.6133553689906451,17.946582056451632,101286.61817876344
Buzimba,1993-04-01,1993,4,0.9743333333333333,0.9743333333333333,17.13,17.13,28.69,19.423333333333336,24.05666666666667,136.50000000000003,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.881819361111127,17.986000000000047,24.850060000000042,670.2520836163201,-0.1809778638613889,0.7263982767166667,18.33600479166671,101256.72111111111
